SUMD ID,GPS Latitude,GPS Longitude
Powered1a17dd91-feea-5fcd-83c4-15f11d1515e5,36.1199,-86.7533
Powered1a242cef-3fb5-5b46-b778-99737942d7e3,36.1201,-86.7537
Powered1a70c433-f3a4-588c-8c33-6cd8e734cfe6,36.12,-86.7533
Powered1a793581-f241-5510-aed2-2b1a06d932de,36.1551,-86.7821
Powered1aa1005c-7975-5666-8acc-07e8b91dca8b,36.1198,-86.7534
Powered1ab2de86-fdca-52ff-bd79-30c07a1e0d49,36.1531,-86.7633
Powered1ac6dc4b-9993-505a-bb23-6015c1be1845,36.1202,-86.7534
Powered1ada1949-3fb4-5c0f-88d6-f7d0a9305399,36.1198,-86.7534
Powered1b03862c-7177-5660-9a5f-2114f45e8d8f,36.1201,-86.7535
Powered1b0ac074-6ffc-5b25-9cd7-6ada7ad34043,36.12,-86.7532
Powered1b4ba878-df9a-5bd1-8c73-ff3da5e8fc98,36.1586,-86.7825
Powered1b56f557-adce-5c68-a98b-ab1ef41c7dcc,36.1202,-86.7529
Powered1b67cfd2-a843-5738-97ef-3449b940609f,36.1609,-86.7727
Powered1b7e9fe8-b131-5b7e-ac49-0810e960a4f7,36.1573,-86.7649
Powered1b97ab5c-fe86-522e-9ca8-3a613eb796f9,36.1197,-86.753
Powered1baf4f4b-aa7d-526a-bb5b-f34d4b886d8a,36.1616,-86.7841
Powered1bc6762e-c283-5e03-8712-9319b45a970f,36.1564,-86.7882
Powered1bf0d1c6-a03f-5257-a6a2-f077adc42537,36.1201,-86.7534
Powered1bf80272-ad95-57aa-a451-3c101e4f266a,36.1549,-86.7849
Powered1c0f3305-0e8e-5228-a187-d4b4dae5814f,36.1602,-86.7766
Powered1c1b8875-4863-5b1b-9882-5fed3a83297e,36.1468,-86.79
Powered1c22c64f-cb88-5531-a185-0a8d1adfb6d2,36.1477,-86.8071
Powered1c7796d8-7a03-5d43-b9f1-b373099f0675,36.1202,-86.7533
Powered1c9168a2-88f4-5f80-aed8-bcc86013ed48,36.1202,-86.7531
Powered1c93b4fb-958c-5a01-995b-204f83d1ad11,36.166,-86.7822
Powered1c97900a-8fe5-5773-aea1-2ac86aa181b3,36.1201,-86.7534
Powered1ca65b12-7b4d-50f3-b42a-409cd361aa3e,36.1739,-86.7595
Powered1cb0e0b0-93da-5d41-91cd-f547b3edb7bc,36.1198,-86.7534
Powered1cb60024-3ec8-5d8a-9de0-4be2de8f3484,36.1202,-86.7535
Powered1ccb8478-3388-54ee-993a-f75251d9f831,36.146,-86.8116
Powered1cd639ac-5236-536f-aa07-98460c403c15,36.1199,-86.7533
Powered1ce1059c-a749-51fa-9102-61fc92d9f2ac,36.1197,-86.7534
Powered1d0de0fc-1d89-59b5-8f8d-9283057e92cd,36.1597,-86.7768
Powered1d2da4f6-cbda-5637-872f-425812159636,36.1694,-86.7874
Powered1d31a501-7b4c-5a16-8b6c-0f8f2c5a4eba,36.12,-86.7531
Powered1d36005a-8b21-549c-8c5a-90ee236b17a2,36.1201,-86.7534
Powered1d51d662-3530-5cbf-81ed-d41924e30005,36.12,-86.7533
Powered1d782bf1-388f-57b4-aa0d-516304c6e618,36.1199,-86.7533
Powered1d8bb26e-d960-5b1a-851d-3851a3df134b,36.1646,-86.777
Powered1d9fcc46-84f8-57a9-b9fe-b06349acbb05,36.1198,-86.7534
Powered1e14aee7-fbd0-57a0-b0ee-d9401aeffce6,36.1516,-86.7802
Powered1e249e24-c1e0-51a9-86b7-92cf1f3f03b5,36.1551,-86.7895
Powered1ea7d5d1-1adf-57a0-be71-4d373b48a91f,36.1199,-86.7535
Powered1ebc402b-0b33-5916-840e-252f27203368,36.1475,-86.7949
Powered1f125a6c-7f47-55ab-b07e-4fe65e54a1e2,36.12,-86.7537
Powered1f68e6d0-5c33-53e8-80bc-8649b245ee1a,36.1197,-86.7533
Powered1f916b26-c281-54b4-8fe5-0921980c4419,36.1585,-86.7749
Powered1f9a315c-754e-52e3-a240-66b59b02cfd8,36.1467,-86.8123
Powered1fb117c3-8d9d-530f-ab5a-a9a67edd0b08,36.163,-86.7761
Powered1ff299dc-c024-5895-a078-7d5730028d37,36.1777,-86.75
Powered20051a59-06bd-5ce1-bf49-0d2d8efa9765,36.12,-86.7537
Powered20103e6a-be05-51d5-a66b-e03b5fcd69f1,36.1198,-86.7533
Powered2024b8d6-0ed9-5e5d-8d8b-017f72eddfa6,36.12,-86.7532
Powered20271d32-9fbf-5d8b-9fcc-f71b17928f7c,36.138,-86.8007
Powered2057a064-f102-5ff0-a8b1-f9001fcf3e8b,36.1201,-86.7532
Powered209f77d2-b6bd-53a0-93a7-bd6d855758a8,36.1538,-86.7842
Powered20a53301-3016-5c0a-9d90-8a826dfb96bf,36.1622,-86.7752
Powered20c86bb9-4c40-5ce7-a1e5-5db95d04f4d1,36.12,-86.7534
Powered2158b1de-2edc-5648-b18d-d3c87f044bcc,36.1199,-86.7532
Powered217a1b6e-679d-5ee3-a927-9c99d4de5b5a,36.12,-86.7533
Powered2193cdcc-a2ab-5824-9f18-b54b5dae2d5f,36.1197,-86.7534
Powered21e66609-81db-56fd-b54f-8c6a58b03a9a,36.1623,-86.7778
Powered221ad517-b1cc-5617-8859-686e55b7093e,36.1368,-86.7998
Powered224012be-52cc-5c46-aa85-8399e576a089,36.1584,-86.7798
Powered225fe63e-3e22-51fb-8220-1375eeba07c2,36.1199,-86.7532
Powered226cea4a-45a4-5f83-886e-ec8158129151,36.1197,-86.7532
Powered2278cf7f-e8e1-5758-bc54-e588752f6169,36.1635,-86.7771
Powered22916947-8a9c-59a4-a90b-6f9441392e73,36.1201,-86.7533
Powered2291959e-b28d-5ce9-ad13-3c5f76725dd7,36.1545,-86.8159
Powered22b065ba-265e-582b-8a2d-d9863844455a,36.1203,-86.7537
Powered22c2886e-3786-5858-a15a-4c6921fd16c5,36.1202,-86.7531
Powered22cae9a6-8b41-5a95-87b6-60eb8c46cc2f,36.1201,-86.7534
Powered22ec85d8-4cf7-52ce-8f4d-4f6d779ddeb8,36.1201,-86.7535
Powered23342173-56fa-532f-ba0e-a41e96f331cd,36.1195,-86.7529
Powered23365ed7-797f-5e37-a8d6-21e6b4c982ed,36.1199,-86.753
Powered2351ce35-cee7-5985-b2ad-d2d587fe3691,36.1566,-86.7856
Powered23c34246-b9d4-509b-89f6-c75bec7a5463,36.1199,-86.7533
Powered23cb7559-7e9f-57cc-8d00-281bb38e4aa2,36.1456,-86.7996
Powered23daf8ce-4d42-5a08-bb8e-7acd20c56748,36.1603,-86.7793
Powered23ed6191-dbcc-5342-a1e2-87c40920df39,36.1199,-86.7535
Powered23efe6bf-12ed-5a7a-8833-d89ddc1ed61d,36.1659,-86.7802
Powered242c5b1a-2a84-5a15-a9f8-d18d72bcf25b,36.12,-86.7535
Powered24732c7b-31e9-5547-877c-4cf0974d5af6,36.1452,-86.7804
Powered249275f2-42e5-5c6d-bbc0-71023dca354d,36.1195,-86.7535
Powered24c2f788-4809-57c4-92ca-fae550f7828e,36.1197,-86.7536
Powered24c4e34b-b792-52c6-b90d-0450f3a71953,36.12,-86.7536
Powered24f46289-67a4-5307-bf13-dcebeb349607,36.1199,-86.7531
Powered250d474a-db93-5496-aea2-4b9172e3281a,36.1739,-86.7595
Powered25112149-3f46-5ebd-9b23-18b78044bd22,36.1769,-86.7502
Powered25158e6b-c6de-55ff-80dd-4aac47e1f207,36.12,-86.7535
Powered2519af6d-8dc6-5cff-91ae-ef3d3cb56232,36.1201,-86.7533
Powered253c9d91-a48b-5d52-8ece-9fd86532c191,36.1612,-86.7765
Powered25697b88-161b-5a44-9c3b-c489a031673e,36.12,-86.7532
Powered25b09f87-09dd-5733-a3da-0c4554adb676,36.1199,-86.7534
Powered261f786e-97a7-54fb-96b0-1c1c51df6b4d,36.1199,-86.7533
Powered2639cebf-c12e-57ee-a15f-b27f26bf166f,36.12,-86.7533
Powered2641d885-ccff-5371-a76a-21042d1f038d,36.1614,-86.773
